"","Stigmatomma_pallipes","A_rudis","A_carolinensis","A_fulva","B_depilis","C_pennsylvanicus","C_americanus","C_chromaiodes","C_subbarbatus","C_nearcticus","C_minutissim","F_subsericea","L_alienus","L_umbratus","M_minimum","M_americana","My_latifrons","My_pinetorum","My_punctiventris","My_spatulata","Nylanderia_faisonensis","Pheidole_bicarinata","Ponera","Prenolepis","Proceratium_silaceum","Strumigenys_clypeata","Strumigenys_ohioensis","Pyramica_ornata","Strumigenys_rostratum","S_molesta","St_meridionalis","St_brevicorne","St_diecki","St_impar","St_schmitti","Stenamma_sp_1","T_sessile","Te_longispinosus","Te_curvispinosus"
"FODALS05D4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"GOPRLS04A1",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GOPRLS04A2",0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,0,0,0,30,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"GOPRLS04A3",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04A4",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04B2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GOPRLS04B3",0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"GOPRLS04B4",0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04C1",0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04C2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04C3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"GOPRLS04C4",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GOPRLS04D1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GOPRLS04D2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOPRLS04D3",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,6,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GOPRLS04D4",0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INGPLS04A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"INGPLS04A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"INGPLS04A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"INGPLS04A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"INGPLS04B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
"INGPLS04B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INGPLS04B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"INGPLS04B4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"INGPLS04C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"INGPLS04C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"INGPLS04C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"INGPLS04C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"INGPLS04D1",0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"INGPLS04D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"INGPLS04D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"INGPLS04D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"KATRLS05A1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KATRLS05A2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0
"KATRLS05A3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"KATRLS05A4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05B1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05B2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"KATRLS05B3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05B4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05C1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05C2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05C3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"KATRLS05C4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,0,0
"KATRLS05D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRLS05D2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KATRLS05D3",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"KATRLS05D4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"LAFALS06A1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06A3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"LAFALS06B1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06B2",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,56,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06B3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06B4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06C1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06C3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06D1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06D2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06D3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAFALS06D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05A1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05A2",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05A3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05A4",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05B1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05B2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05B3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05B4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05C1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05C2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05C3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05C4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05D1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05D2",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LECOLS05D3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LECOLS05D4",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOCRLS05A1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0
"NOCRLS05A2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"NOCRLS05A3",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"NOCRLS05A4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"NOCRLS05B1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,32,0,0,0,0,0,0,5,0,0,0
"NOCRLS05B2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NOCRLS05B3",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,8,0,0,0
"NOCRLS05B4",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0
"NOCRLS05C1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,9,0,0,1
"NOCRLS05C2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0
"NOCRLS05C3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,1,1,0,0,0,0,11,0,0,0,0,0,0,20,1,0,1
"NOCRLS05C4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,1
"NOCRLS05D1",0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,7,0,0,0,0,1,0,9,0,0,1
"NOCRLS05D2",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,0,1,0,1,1,1,0,0,0,11,0,0,0,0,0,0,12,0,0,0
"NOCRLS05D3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"NOCRLS05D4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,1
"NODILS06A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06B4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"NODILS06C4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODILS06D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCLFLS04A1",0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCLFLS04A2",0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
"OCLFLS04A3",0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,8,0,0,0,22,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"OCLFLS04A4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
